epochs;loss;acc;val_loss;val_acc
1;2.118204;47.633785;1.727251;61.879864
2;1.604794;66.094246;1.591874;69.357980
3;1.474145;71.126200;1.457373;73.042310
4;1.387963;74.545720;1.372907;74.343380
5;1.335302;76.472640;1.427396;73.103110
6;1.298959;78.294720;1.284481;78.623540
7;1.261702;79.527756;1.299106;77.966930
8;1.240735;80.366410;1.388518;74.464980
9;1.214726;81.759186;1.258466;79.547670
10;1.195029;82.517970;1.256657;79.924614
11;1.183066;82.782550;1.206744;81.213524
12;1.171160;83.426510;1.253922;78.720820
13;1.153417;83.930710;1.242152;80.289400
14;1.142035;84.654550;1.264635;79.255840
15;1.127196;85.173720;1.229554;80.338036
16;1.115669;85.618010;1.245629;80.167800
17;1.105721;86.062300;1.248639;79.377430
18;1.094375;86.526560;1.233404;80.642020
19;1.088857;86.786140;1.250201;79.413910
20;1.081759;86.836060;1.196353;82.076850
21;1.068915;87.574875;1.225625;80.629870
22;1.071931;87.315290;1.185125;81.955250
23;1.058322;87.979230;1.207888;81.991730
24;1.055109;88.079070;1.177872;82.915855
25;1.052585;88.173920;1.202050;80.994650
26;1.040824;88.693090;1.179456;82.125490
27;1.037141;88.698080;1.196703;82.502430
28;1.031061;89.212260;1.209908;81.347275
29;1.032024;89.352036;1.183655;82.222760
30;1.021290;89.721440;1.184958;82.356514
31;1.020677;89.441895;1.180194;82.587550
32;1.016010;89.636580;1.182488;82.429474
33;1.015549;89.726430;1.199530;81.943090
34;1.014060;89.786340;1.177276;82.879380
35;1.007828;90.085860;1.178927;82.794260
36;1.004294;90.085860;1.176576;82.490270
37;1.000106;90.530150;1.206824;81.055450
38;0.993775;90.595050;1.188638;81.712060
39;0.996386;90.610020;1.189510;82.198440
40;0.992996;90.550120;1.199413;81.772860
41;0.988021;90.824680;1.198969;82.429474
42;0.986436;90.754790;1.161865;83.426560
43;0.977748;91.278950;1.156110;83.268486
44;0.979726;91.298920;1.186693;82.198440
45;0.983025;91.009384;1.221934;81.116240
46;0.982355;90.919525;1.169137;82.952330
47;0.967111;91.798120;1.153474;83.523834
48;0.974795;91.528550;1.192981;81.675580
49;0.970083;91.618410;1.179398;82.660510
50;0.963310;91.853035;1.157666;83.596790
51;0.964508;91.937900;1.171597;82.794260
52;0.961892;92.182500;1.178818;82.587550
53;0.962947;91.863014;1.158109;83.353600
54;0.961957;91.863014;1.187036;82.271400
55;0.965243;91.733220;1.154510;83.621110
56;0.952708;92.546920;1.153466;83.329280
57;0.956404;92.282350;1.169392;83.633270
58;0.960685;92.012780;1.140397;84.095330
59;0.951983;92.367210;1.157892;83.426560
60;0.949100;92.467050;1.170925;82.709145
61;0.894098;94.658550;1.130831;84.326360
62;0.875252;95.422325;1.117636;84.581710
63;0.859845;96.241010;1.114943;85.031620
64;0.855324;96.370804;1.095242;85.700386
65;0.851362;96.420720;1.094378;85.676070
66;0.846007;96.605430;1.140646;84.375000
67;0.843408;96.795130;1.111971;85.031620
68;0.840828;96.845050;1.103466;85.323440
69;0.836832;96.974840;1.132039;84.071014
70;0.832836;97.054710;1.118227;84.727620
71;0.834490;97.004790;1.097801;85.639595
72;0.831267;97.239420;1.100007;85.590950
73;0.830023;97.234420;1.098039;85.481514
74;0.826757;97.369210;1.121746;84.715470
75;0.825821;97.294330;1.109616;85.019455
76;0.824414;97.434105;1.112581;85.116730
77;0.821186;97.603830;1.105361;85.359924
78;0.822592;97.364210;1.104561;85.372080
79;0.820624;97.474040;1.097249;85.590950
80;0.820049;97.563896;1.103189;85.359924
81;0.817609;97.628790;1.106123;85.663910
82;0.817032;97.518970;1.111951;85.189690
83;0.815745;97.803510;1.105572;85.080250
84;0.813705;97.733630;1.109337;85.177530
85;0.811252;97.863420;1.116967;85.031620
86;0.808211;98.013176;1.108880;85.372080
87;0.812768;97.768570;1.116040;85.189690
88;0.811021;97.818490;1.105119;85.359924
89;0.806389;98.137980;1.107186;85.128890
90;0.807096;97.943290;1.113127;85.055930
91;0.800946;98.262780;1.106252;85.153210
92;0.802068;98.212860;1.092691;85.834145
93;0.799872;98.362620;1.119257;84.691150
94;0.800908;98.207860;1.099470;85.834145
95;0.799200;98.252790;1.104743;84.982980
96;0.797932;98.342650;1.104516;85.323440
97;0.800019;98.232830;1.103467;85.092415
98;0.797784;98.397560;1.116074;84.666830
99;0.799695;98.317690;1.112935;85.201850
100;0.797656;98.487420;1.102583;85.542310
101;0.796827;98.512375;1.099203;85.469360
102;0.799094;98.207860;1.109867;84.995130
103;0.797654;98.442490;1.092938;86.053020
104;0.796559;98.432500;1.111896;85.104570
105;0.795909;98.397560;1.108306;85.116730
106;0.795110;98.367610;1.090631;86.138130
107;0.797773;98.252790;1.110508;85.189690
108;0.794841;98.487420;1.104830;85.323440
109;0.796428;98.377594;1.092901;85.396400
110;0.794921;98.457466;1.117909;84.630350
111;0.795101;98.507385;1.099039;85.469360
112;0.797415;98.267770;1.106241;85.262650
113;0.794036;98.437500;1.110365;85.080250
114;0.795554;98.407550;1.106915;85.153210
115;0.795670;98.417534;1.094806;85.493675
116;0.796889;98.362620;1.095195;85.639595
117;0.795414;98.327675;1.102771;85.518000
118;0.797592;98.202870;1.105468;85.432880
119;0.793705;98.467450;1.097467;85.542310
120;0.796950;98.252790;1.108318;85.055930
